MARCA;AGUA EN CRUDOS;RELACION DE AGUA CRUDOS;RELACION DE AGUA MEZCLAS;VOLUMEN TOTAL DE FILTRACION;DIFERENCIAL T vapor y mosto;Extracto inicio coccion;Extracto  fin coccion; Rata Evap ;Tiempo total estres termico;Volumen mosto frio;EO mosto frio;pH mosto frio;Kg Extracto entrada;Eficiencia
CLUB COLOMBIA; -   ; -   ;3;1.000,00; 16.2 ; 13.68 ; 14.01 ; 0.02 ;295;930; 14.02 ; 4.97 ;14.458; 95.18 
CLUB COLOMBIA; -   ; -   ;3;1.000,00; 15.67 ; 13.88 ; 14.02 ; 0.01 ;252;950; 14.02 ; 4.94 ;14.344;98
CLUB COLOMBIA; -   ; -   ;3;989; 14.95 ; 13.97 ; 14.02 ; -   ;975;947; 14.11 ; 4.93 ;14.376; 98.13 
CLUB COLOMBIA; -   ; -   ;3;995; 14.93 ;14; 14.04 ; -   ;248;951; 14.1 ; 4.89 ;14.342; 98.71 
ESTANDAR 900; 176.4 ; 2.5 ;2;942; 15.2 ; 17.96 ;18; -   ;269;912; 18.06 ; 4.96 ;17.791; 99.31 
ESTANDAR 900; 176.4 ; 2.5 ;2;945; 14.89 ; 17.39 ; 17.85 ; 0.03 ;261;922; 17.87 ; 5.02 ;17.574; 100.49 
ESTANDAR 900; 176.4 ; 2.5 ;2;945; 15.12 ; 17.7 ;18; 0.02 ;291;917; 18.04 ; 4.89 ;17.648; 100.54 
ESTANDAR 900; 176.2 ; 2.5 ;2;944; 13.7 ; 17.66 ; 18.03 ; 0.02 ;277;908; 18.02 ; 4.87 ;17.647; 99.44 
ESTANDAR 900; 176.4 ; 2.5 ;2;945; 16.54 ;18; 18.02 ; -   ;272;916; 18.01 ; 4.96 ;17.659; 100.19 
ESTANDAR 900; 176.4 ; 2.5 ;2;941; 15.2 ; 17.78 ; 17.99 ; 0.01 ;264;909; 18.03 ; 5.01 ;17.614; 99.8 
ESTANDAR 900; 176.4 ; 2.5 ;2;945; 16.05 ; 17.57 ; 17.97 ; 0.02 ;266;895;18; 4.94 ;17.640; 97.95 
ESTANDAR 900; 176.4 ; 2.5 ;2;942; 15.5 ; 18.17 ;18; -0.01 ;215;912; 18.04 ; 4.97 ;17.645; 100.01 
ESTANDAR 900; 176.4 ; 2.5 ;2;940; 15.4 ; 17.97 ; 17.96 ; -   ;272;908; 18.07 ; 4.96 ;17.628; 99.85 
ESTANDAR 900; 176.4 ; 2.5 ;2;945; 14.6 ; 18.1 ; 17.98 ; -0.01 ;261;924; 18.02 ; 4.91 ;17.754; 100.59 
ESTANDAR 18; 211.4 ; 2.8 ; 1.9 ;991; 15.23 ; 17.92 ; 18.01 ; 0.01 ;278;951; 17.98 ; 4.91 ;18.532; 98.94 
ESTANDAR 18; 211.4 ; 2.8 ; 1.9 ;977; 13.5 ; 17.58 ; 17.82 ; 0.01 ;278;956; 17.9 ; 4.87 ;18.538; 98.96 
ESTANDAR 18; 211.4 ; 2.8 ;2;980; 14.92 ; 17.77 ; 18.01 ; 0.01 ;282;955; 18.01 ; 5.01 ;18.474; 99.85 
ESTANDAR 18; 211.4 ; 2.8 ;2;977; 13.31 ; 17.82 ; 18.02 ; 0.01 ;272;954; 18.01 ;5;18.465; 99.79 
ESTANDAR 900; 176.4 ; 2.4 ;2;943; 13.73 ; 17.92 ; 17.99 ; -   ;275;916; 17.98 ; 4.97 ;17.646; 100.09 
ESTANDAR 900; 176.4 ; 2.5 ;2;945; 13.8 ; 17.74 ; 17.86 ; 0.01 ;272;907; 17.85 ; 4.99 ;17.544; 98.91 
ESTANDAR 900; 176.4 ; 2.4 ; 2.1 ;945; 14.08 ; 17.77 ; 18.02 ; 0.01 ;269;911; 18.02 ; 4.89 ;17.642; 99.8 
ESTANDAR 900; 176.4 ; 2.4 ;2;943; 13.51 ; 17.62 ;18; 0.02 ;269;913;18; 4.86 ;17.655; 99.83 
ESTANDAR 900; 176.4 ; 2.4 ;2;945; 13.97 ; 17.8 ; 17.98 ; 0.01 ;291;918; 17.96 ; 4.85 ;17.638; 100.23 
ESTANDAR 18; 211.4 ; 2.8 ;2;991; 15.12 ; 17.7 ; 17.98 ; 0.02 ;291;958; 17.98 ; 4.81 ;18.502; 99.83 
ESTANDAR 18; 211.4 ; 2.8 ;2;979; 14.8 ; 17.81 ; 18.04 ; 0.01 ;271;957; 18.02 ; 4.91 ;18.503; 99.96 
